Date,Close
,INFY.NS
2015-01-01,386.0434265136719
2015-01-02,393.6296691894531
2015-01-05,390.2471618652344
2015-01-06,382.09375
2015-01-07,383.921875
2015-01-08,385.8576354980469
2015-01-09,405.6055603027344
2015-01-12,413.7198486328125
2015-01-13,408.4309387207031
2015-01-14,416.2030029296875
2015-01-15,417.29791259765625
2015-01-16,414.1793518066406
2015-01-19,411.0900573730469
2015-01-20,415.33282470703125
2015-01-21,424.2684020996094
2015-01-22,429.45953369140625
2015-01-23,433.09625244140625
2015-01-27,417.7378234863281
2015-01-28,419.31195068359375
2015-01-29,419.4975891113281
2015-01-30,418.7937316894531
2015-02-02,417.8063049316406
2015-02-03,414.6877136230469
2015-02-04,418.9795227050781
2015-02-05,428.9414367675781
2015-02-06,436.1171569824219
2015-02-09,439.71478271484375
2015-02-10,445.4632568359375
2015-02-11,446.7438659667969
2015-02-12,451.89593505859375
2015-02-13,448.943603515625
2015-02-16,445.5513000488281
2015-02-18,449.0218200683594
2015-02-19,454.53558349609375
2015-02-20,446.4017639160156
2015-02-23,442.9801025390625
2015-02-24,444.3878173828125
2015-02-25,453.1473388671875
2015-02-26,441.5136413574219
2015-02-27,443.0093688964844
2015-03-02,448.0832824707031
2015-03-03,449.2857971191406
2015-03-04,444.7494812011719
2015-03-05,439.4606628417969
2015-03-09,428.20819091796875
2015-03-10,429.76263427734375
2015-03-11,426.6733703613281
2015-03-12,433.7317810058594
2015-03-13,434.1423034667969
2015-03-16,443.1853942871094
2015-03-17,438.0724792480469
2015-03-18,435.9216613769531
2015-03-19,436.1073913574219
2015-03-20,441.38665771484375
2015-03-23,436.6940002441406
2015-03-24,432.3924560546875
2015-03-25,433.8882141113281
2015-03-26,419.663818359375
2015-03-27,430.57403564453125
2015-03-30,435.62835693359375
2015-03-31,433.7415771484375
2015-04-01,425.0602722167969
2015-04-06,425.8912048339844
2015-04-07,422.23486328125
2015-04-08,430.26123046875
2015-04-09,433.0865173339844
2015-04-10,436.79168701171875
